=== 简单建图数据 ===
总步数: 329
总时间: 427.07秒

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
118,413.57,1.180,0.000,0.213,1.60,0.66,2.66,2.37,0.66
119,413.63,1.190,0.000,0.213,1.60,0.65,2.68,2.37,0.65
120,413.70,1.200,0.000,0.213,1.59,0.65,2.65,2.38,0.65
121,413.76,1.210,0.000,0.213,1.58,0.65,2.67,2.37,0.65
122,413.82,1.220,0.000,0.213,1.58,0.65,2.67,2.38,0.65
123,413.89,1.230,0.000,0.213,1.57,0.64,2.66,2.38,0.64
124,413.95,1.240,0.000,0.213,1.58,0.65,2.64,2.39,0.65
125,414.02,1.250,0.000,0.213,1.56,0.64,2.66,2.39,0.64
126,414.08,1.260,0.000,0.213,1.57,0.65,2.65,2.40,0.65
127,414.14,1.270,0.000,0.213,1.56,0.64,2.63,2.40,0.64
128,414.21,1.280,0.000,0.213,1.56,0.65,2.63,2.41,0.65
129,414.27,1.290,0.000,0.213,1.55,0.64,2.63,2.41,0.64
130,414.34,1.300,0.000,0.213,1.54,0.63,2.64,2.40,0.63
131,414.40,1.310,0.000,0.260,1.54,0.64,2.57,2.44,0.64
132,414.46,1.320,0.000,0.308,1.55,0.66,2.49,2.48,0.66
133,414.53,1.330,0.000,0.355,1.57,0.68,2.43,inf,0.68
134,414.59,1.340,0.000,0.403,1.56,0.68,2.37,inf,0.68
135,414.66,1.350,0.000,0.451,1.56,0.70,2.31,inf,0.70
136,414.72,1.360,0.000,0.498,1.58,3.07,2.25,inf,1.58
137,414.78,1.370,0.000,0.546,1.59,3.15,2.20,inf,1.59
138,414.85,1.380,0.000,0.594,1.60,3.24,2.13,1.26,1.26
139,414.91,1.390,0.000,0.641,1.62,3.31,2.09,1.17,1.17
140,414.98,1.400,0.000,0.689,1.63,3.29,2.03,1.08,1.08
141,415.04,1.410,0.000,0.737,1.65,3.07,1.99,1.08,1.08
142,415.10,1.420,0.000,0.784,1.66,3.16,1.94,1.13,1.13
143,415.17,1.430,0.000,0.784,1.68,3.18,1.94,1.14,1.14
144,415.23,1.440,0.000,0.784,1.66,3.17,1.94,1.12,1.12
145,415.30,1.450,0.000,0.784,1.67,3.12,1.95,1.14,1.14
146,415.36,1.460,0.000,0.784,1.65,3.11,1.93,1.13,1.13
147,415.42,1.470,0.000,0.784,1.66,3.11,1.94,1.14,1.14
148,415.49,1.480,0.000,0.784,1.65,3.15,1.94,1.15,1.15
149,415.55,1.490,0.000,0.783,1.65,3.11,1.94,1.15,1.15
150,415.62,1.500,0.000,0.783,1.65,3.15,1.94,1.17,1.17
151,415.68,1.510,0.000,0.783,1.63,3.13,1.93,1.16,1.16
152,415.74,1.520,0.000,0.783,1.64,3.14,1.93,1.18,1.18
153,415.81,1.530,0.000,0.783,1.63,3.09,1.93,1.17,1.17
154,415.87,1.540,0.000,0.784,1.62,3.13,1.92,1.19,1.19
155,415.94,1.550,0.000,0.784,1.62,3.07,1.93,1.17,1.17
156,416.00,1.560,0.000,0.784,1.62,3.12,1.93,1.19,1.19
157,416.06,1.570,0.000,0.784,1.61,3.11,1.92,1.19,1.19
158,416.13,1.580,0.000,0.784,1.61,3.06,1.92,1.19,1.19
159,416.19,1.590,0.000,0.784,1.61,3.10,1.93,1.20,1.20
160,416.26,1.600,0.000,0.784,1.60,3.10,1.91,1.19,1.19
161,416.32,1.610,0.000,0.784,1.59,3.08,1.90,1.19,1.19
162,416.38,1.620,0.000,0.784,1.59,3.09,1.92,1.20,1.20
163,416.45,1.630,0.000,0.784,1.59,3.07,1.91,1.21,1.21
164,416.51,1.640,0.000,0.784,1.59,3.07,1.91,1.21,1.21
165,416.58,1.650,0.000,0.784,1.58,3.05,1.90,1.22,1.22
166,416.64,1.660,0.000,0.784,1.58,3.05,1.90,1.22,1.22
167,416.70,1.670,0.000,0.784,1.57,3.04,1.90,1.23,1.23
168,416.77,1.680,0.000,0.784,1.56,3.02,1.90,1.24,1.24
169,416.83,1.690,0.000,0.784,1.57,3.02,1.91,1.25,1.25
170,416.90,1.700,0.000,0.784,1.56,3.01,1.90,1.25,1.25
171,416.96,1.710,0.000,0.784,1.54,3.01,1.88,1.23,1.23
172,417.02,1.720,0.000,0.784,1.55,3.02,1.89,1.26,1.26
173,417.09,1.730,0.000,0.784,1.55,3.04,1.88,1.25,1.25
174,417.15,1.740,0.000,0.784,1.54,3.05,1.88,1.25,1.25
175,417.22,1.750,0.000,0.784,1.54,3.06,1.88,1.25,1.25
176,417.28,1.760,0.000,0.784,1.53,3.07,1.88,1.26,1.26
177,417.34,1.770,0.000,0.784,1.52,3.06,1.88,1.27,1.27
178,417.41,1.780,0.000,0.784,1.53,3.07,1.88,1.28,1.28
179,417.47,1.790,0.000,0.784,1.52,3.10,1.88,1.28,1.28
180,417.54,1.800,0.000,0.784,1.53,3.11,1.87,1.29,1.29
181,417.60,1.810,0.000,0.784,1.52,3.11,1.87,1.29,1.29
182,417.66,1.820,0.000,0.784,1.51,3.11,1.88,1.30,1.30
183,417.73,1.830,0.000,0.784,1.50,3.07,1.86,1.29,1.29
184,417.79,1.840,0.000,0.784,1.50,3.12,1.87,1.31,1.31
